loop,rxcost,txcost,metric,smetric
378,256,356,356,306
379,256,356,356,313
380,256,348,348,321
381,256,348,348,321
382,256,348,348,329
383,256,348,348,332
384,256,348,348,335
385,256,348,348,337
386,256,348,348,338
387,256,348,348,339
388,256,295,295,339
389,256,295,295,324
390,256,295,295,319
391,256,295,295,319
392,256,295,295,316
393,256,295,295,314
394,256,295,295,311
395,256,295,295,309
396,256,295,295,309
397,256,349,349,307
398,256,349,349,321
399,256,349,349,327
400,256,349,349,327
401,256,295,295,330
402,256,295,295,318
403,256,295,295,314
404,256,295,295,310
405,256,295,295,307
406,256,295,295,305
407,256,295,295,305
408,256,264,264,303
409,256,264,264,290
410,256,264,264,287
411,256,264,264,283
412,256,264,264,280
413,256,264,264,280
414,256,264,264,278
415,256,264,264,278
416,256,264,264,276
417,256,264,264,274
418,256,264,264,273
419,256,264,264,272
420,256,264,264,272
421,256,516,516,270
422,256,516,516,270
423,256,516,516,344
424,256,516,516,382
425,256,516,516,405
426,256,516,516,426
427,256,516,516,440
428,256,516,516,440
429,256,516,516,466
430,256,516,516,475
431,256,516,516,484
432,256,516,516,489
433,256,516,516,489
434,256,516,516,498
435,256,630,630,501
436,256,630,630,530
437,256,630,630,547
438,256,630,630,547
439,256,630,630,565
440,256,442,442,565
441,256,442,442,523
442,256,442,442,508
443,256,442,442,495
444,256,324,324,495
445,256,324,324,429
446,256,324,324,414
447,256,324,324,414
448,256,324,324,371
449,256,324,324,371
