loop,rxcost,txcost,metric,smetric
108,256,258,260,268
109,256,258,260,268
110,256,258,260,267
111,256,258,260,266
112,256,258,260,266
113,341,258,344,266
114,341,258,344,282
115,341,258,344,300
116,341,258,344,300
117,341,258,344,316
118,341,258,344,320
119,341,258,344,320
120,341,258,344,323
121,341,258,344,326
122,409,256,409,331
123,409,256,409,331
124,409,256,409,331
125,409,256,409,345
126,409,256,409,345
127,372,341,496,372
128,372,341,496,400
129,372,341,496,400
130,372,341,496,419
131,372,341,496,419
132,303,341,404,443
133,303,341,404,432
134,303,341,404,426
135,303,341,404,422
136,277,292,316,422
137,277,292,316,387
138,266,292,303,373
139,266,292,303,363
140,266,292,303,351
141,266,292,303,351
142,266,292,303,335
143,266,292,303,335
144,266,292,303,335
145,350,292,399,316
146,345,264,356,316
147,345,264,356,322
148,345,264,356,326
149,343,264,354,338
150,343,264,354,338
151,343,264,354,338
152,343,264,354,343
153,343,264,354,343
154,293,264,302,346
155,293,264,302,338
156,293,264,302,338
157,293,264,302,338
158,293,264,302,333
159,293,264,302,329
160,293,264,302,324
161,273,257,274,324
162,273,257,274,314
163,273,257,274,307
164,273,257,274,293
165,273,257,274,291
166,273,257,274,291
167,273,257,274,288
168,273,257,274,286
169,273,257,274,284
170,356,257,357,282
171,356,257,357,297
172,356,257,357,297
173,520,256,520,305
174,520,256,520,375
175,520,256,520,408
176,412,256,412,408
177,412,256,412,408
178,412,256,412,412
179,315,256,315,412
180,315,256,315,394
181,315,256,315,394
182,315,256,315,394
183,315,256,315,370
184,315,256,315,362
185,282,256,282,362
186,282,256,282,333
187,282,256,282,323
188,282,256,282,317
189,268,256,268,310
190,268,256,268,304
191,268,256,268,298
192,268,256,268,294
193,268,256,268,290
194,262,256,268,290
195,262,256,268,284
196,262,256,268,284
197,262,256,268,282
198,259,256,259,279
199,259,256,259,279
200,259,256,259,276
201,259,256,259,270
202,257,256,259,270
203,257,256,259,268
204,257,256,259,268
205,257,256,259,265
206,256,256,259,264
207,256,256,259,264
208,256,256,256,264
209,256,256,256,264
210,256,256,256,263
211,256,256,256,263
212,256,341,341,263
213,256,341,341,303
214,256,341,341,303
215,256,341,341,308
216,256,341,341,308
217,256,341,341,308
218,256,341,341,326
219,256,341,341,326
220,256,341,341,326
221,256,341,341,329
222,256,341,341,331
223,256,372,372,331
224,256,372,372,338
225,256,372,372,342
226,256,372,372,346
227,256,356,356,351
228,256,356,356,351
229,256,356,356,351
230,256,356,356,351
231,256,356,356,351
232,256,297,297,351
233,256,297,297,333
234,256,297,297,326
235,256,297,297,322
236,256,265,265,318
237,256,265,265,309
238,256,265,265,302
239,256,265,265,290
240,256,265,265,290
241,256,265,265,285
242,256,265,265,285
243,256,265,265,279
244,256,265,265,279
245,256,265,265,277
246,256,265,265,277
247,256,265,265,275
248,256,265,265,273
249,256,265,265,272
250,256,265,265,272
251,341,265,353,270
252,341,265,353,270
253,341,265,353,284
254,341,265,353,294
255,341,265,353,317
256,341,265,353,324
257,409,256,409,329
258,409,256,409,341
259,409,256,409,350
260,409,256,409,350
261,409,256,409,361
262,372,256,372,361
263,372,256,372,364
264,372,256,372,364
265,372,256,372,364
266,303,256,303,365
267,303,256,303,365
268,303,256,303,354
269,303,256,303,338
270,277,256,277,333
271,277,256,277,320
272,277,256,277,320
273,277,256,277,311
274,266,256,266,300
275,266,256,266,294
276,266,256,266,294
277,266,256,266,290
278,266,256,266,290
279,266,256,266,290
280,261,256,266,287
281,261,256,266,282
282,261,256,266,279
283,261,256,266,279
284,261,256,266,279
285,261,256,266,279
286,261,256,266,273
287,261,256,266,273
288,345,256,345,273
289,345,256,345,297
290,345,256,345,305
291,345,256,345,311
292,514,256,514,317
293,514,256,514,390
294,514,256,514,390
295,514,256,514,411
296,514,256,514,434
297,514,256,514,456
298,514,256,514,466
299,684,256,684,475
300,455,256,455,514
301,455,256,455,505
302,455,256,455,497
303,390,256,390,484
304,390,256,390,484
305,390,256,390,465
306,390,256,390,465
307,309,256,309,429
308,309,256,309,429
309,309,256,309,392
310,309,256,309,392
311,280,256,280,377
312,280,256,280,356
313,280,256,280,356
314,280,256,280,356
315,280,256,280,339
316,280,256,280,314
317,280,256,280,314
318,280,256,280,314
319,280,256,280,309
320,280,256,280,305
321,280,256,280,298
322,351,256,351,296
323,351,256,351,296
324,351,256,351,312
325,351,256,351,320
326,346,256,346,320
327,346,256,346,325
328,346,256,346,332
329,346,256,346,335
330,346,256,346,335
331,346,256,346,335
332,294,256,294,337
333,294,256,294,328
334,294,256,294,321
335,294,256,294,312
336,273,256,273,312
337,273,256,273,299
338,273,256,273,295
339,264,256,264,292
340,264,256,264,284
341,264,256,264,281
342,264,256,264,278
343,264,256,264,278
344,264,256,264,278
345,260,256,264,276
346,260,256,260,275
347,260,256,260,275
348,260,256,260,273
349,260,256,260,271
350,260,256,260,267
351,343,256,343,267
352,343,256,343,279
353,343,256,343,290
354,342,256,342,298
355,342,256,342,305
356,342,256,342,312
357,292,256,292,320
358,292,256,292,320
359,292,256,292,320
360,292,256,292,316
361,292,256,292,307
362,292,256,292,307
363,292,256,292,304
364,292,256,292,300
365,292,256,292,300
366,292,256,292,299
367,356,256,356,299
368,356,256,356,319
369,356,256,356,325
370,356,256,356,329
371,348,256,348,334
372,348,256,348,334
373,348,256,348,336
374,348,256,348,341
375,295,256,295,341
376,295,256,295,341
377,295,256,295,332
378,295,256,295,332
379,295,256,295,327
380,295,256,295,322
381,295,256,295,318
382,295,256,295,311
383,295,256,295,308
384,357,256,357,308
385,357,256,357,315
386,357,256,357,328
387,349,256,349,334
388,349,256,349,336
389,349,256,349,336
390,295,256,295,341
391,295,256,295,341
392,295,256,295,335
393,295,256,295,335
394,295,256,295,328
395,295,256,295,314
396,274,256,274,314
397,274,256,274,307
398,274,256,274,301
399,264,256,264,298
400,264,256,264,286
401,264,256,264,286
402,264,256,264,279
403,264,256,264,276
404,264,256,264,275
405,264,256,264,273
406,264,256,264,271
407,264,256,264,270
408,520,256,520,270
409,520,256,520,323
410,516,256,516,364
411,516,256,516,415
412,516,256,516,415
413,516,256,516,415
414,516,256,516,463
415,516,256,516,473
416,516,256,516,486
417,516,256,516,486
418,516,256,516,498
419,516,256,516,498
420,516,256,516,498
421,821,256,821,498
422,630,256,630,603
423,630,256,630,608
424,630,256,630,614
425,630,256,630,619
426,442,256,442,619
427,442,256,442,619
428,442,256,442,591
429,324,256,324,517
430,324,256,324,517
431,324,256,324,477
432,324,256,324,477
433,324,256,324,424
434,324,256,324,424
435,286,256,286,404
436,286,256,286,404
437,286,256,286,404
438,286,256,286,356
