loop,rxcost,txcost,metric,smetric
1,1023,65535
2,511,65535
3,341,1023
4,341,1023
5,292,511
6,292,511
7,292,511
8,292,292
9,292,292
10,292,292
11,292,292
12,273,292
13,273,292
14,273,292
15,273,292
16,264,273,282,32767
17,264,273,282,26939
18,264,273,282,26939
19,264,273,282,26939
20,264,273,282,21990
21,264,273,282,13900
22,264,273,282,10889
23,260,273,282,10889
24,260,273,282,5614
25,258,273,282,4692
26,258,273,282,4692
27,258,273,282,4692
28,256,258,258,2745
29,256,258,258,2745
30,256,258,258,2335
31,256,258,258,1887
32,256,258,258,1887
33,256,258,258,1513
34,256,258,258,1330
35,256,258,258,1106
36,256,258,258,1106
37,256,258,258,966
38,256,258,258,737
39,256,258,258,646
40,256,258,258,646
41,256,258,258,567
42,256,256,256,567
43,256,256,256,405
44,256,256,256,379
45,256,256,256,379
46,256,256,256,338
47,256,256,256,325
48,256,256,256,312
49,341,256,341,312
50,341,341,454,323
51,341,341,454,323
52,341,341,454,323
53,341,341,454,346
54,341,341,454,379
55,292,341,389,389
56,292,341,389,389
57,292,341,389,389
58,292,341,389,389
59,273,292,311,389
60,273,292,311,389
61,273,292,311,372
62,273,292,311,349
63,264,273,282,343
64,264,273,282,331
65,264,273,282,331
66,264,273,282,321
67,264,273,282,310
68,260,273,277,310
69,260,273,277,300
70,260,273,277,296
71,260,273,277,293
72,260,273,277,288
73,343,264,354,288
74,343,264,354,302
75,343,264,354,312
76,343,264,354,318
77,343,264,354,318
78,343,264,354,325
79,342,344,460,325
80,342,344,460,370
81,342,344,460,390
82,292,343,391,401
83,292,343,391,401
84,292,343,391,397
85,273,293,312,396
86,273,293,312,396
87,273,293,312,368
88,273,293,312,368
89,273,293,312,359
90,264,293,302,359
91,264,293,302,347
92,264,293,302,341
93,264,293,302,336
94,260,293,298,325
95,260,293,298,320
96,260,293,298,320
97,260,293,298,317
98,260,293,298,314
99,258,258,260,312
100,258,258,260,303
101,258,258,260,297
102,258,258,260,297
103,257,258,260,291
104,257,258,260,280
105,257,258,260,276
106,256,258,260,273
107,256,258,260,271
